route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
108-20781,2026MA-1PUBCUT-Weekday-04,73220159,"BRENTWOOD",0,7060428,1080048
108-20781,2026MA-1PUBCUT-Weekday-04,73220160,"BRENTWOOD",0,7060519,1080048
108-20781,2026MA-1PUBCUT-Weekday-04,73220161,"BRENTWOOD",0,7060305,1080048
108-20781,2026MA-1PUBCUT-Weekday-04,73220162,"BRENTWOOD",0,7060428,1080048
108-20781,2026MA-1PUBCUT-Weekday-04,73220163,"BRENTWOOD",0,7060519,1080048
108-20781,2026MA-1PUBCUT-Weekday-04,73220164,"BRENTWOOD",0,7060519,1080048
108-20781,2026MA-1PUBCUT-Weekday-04,73220165,"BRENTWOOD",0,7060305,1080048
108-20781,2026MA-1PUBCUT-Weekday-04,73220166,"BRENTWOOD",0,7060428,1080048
108-20781,2026MA-1PUBCUT-Weekday-04,73220167,"BRENTWOOD",0,7060305,1080048
108-20781,2026MA-1PUBCUT-Weekday-04,73220168,"BRENTWOOD",0,7060428,1080048
108-20781,2026MA-1PUBCUT-Weekday-04,73220169,"BRENTWOOD",0,7060519,1080048
108-20781,2026MA-1PUBCUT-Weekday-04,73220170,"BRENTWOOD",0,7060305,1080048
108-20781,2026MA-1PUBCUT-Weekday-04,73220171,"BRENTWOOD",0,7060305,1080048
108-20781,2026MA-1PUBCUT-Weekday-04,73220172,"BRENTWOOD",0,7060428,1080048
108-20781,2026MA-1PUBCUT-Weekday-04,73220173,"BRENTWOOD",0,7060428,1080048
108-20781,2026MA-1PUBCUT-Weekday-04,73220174,"BRENTWOOD",0,7060519,1080048
108-20781,2026MA-1PUBCUT-Weekday-04,73220175,"BRENTWOOD",0,7060519,1080048
108-20781,2026MA-1PUBCUT-Weekday-04,73220176,"BRENTWOOD",0,7060305,1080048
108-20781,2026MA-1PUBCUT-Weekday-04,73220177,"BRENTWOOD",0,7060428,1080048
108-20781,2026MA-1PUBCUT-Weekday-04,73220178,"BRENTWOOD",0,7060519,1080048
108-20781,2026MA-1PUBCUT-Weekday-04,73220179,"BRENTWOOD",0,7060305,1080048
108-20781,2026MA-1PUBCUT-Weekday-04,73220180,"BRENTWOOD",0,7060428,1080048
108-20781,2026MA-1PUBCUT-Weekday-04,73220181,"BRENTWOOD",0,7060952,1080048
108-20781,2026MA-1PUBCUT-Weekday-04,73220182,"BRENTWOOD",0,7060951,1080048
108-20781,2026MA-1PUBCUT-Weekday-04,73220183,"BRENTWOOD",0,7060953,1080048
108-20781,2026MA-1PUBCUT-Weekday-04,73220184,"BRENTWOOD",0,7060952,1080048
108-20781,2026MA-1PUBCUT-Weekday-04,73220185,"BRENTWOOD",0,7060951,1080048
108-20781,2026MA-1PUBCUT-Weekday-04,73220186,"BRENTWOOD",0,7060953,1080048
108-20781,2026MA-1PUBCUT-Weekday-04,73220187,"BRENTWOOD",0,7060952,1080048
108-20781,2026MA-1PUBCUT-Weekday-04,73220188,"BRENTWOOD",0,7060951,1080048
108-20781,2026MA-1PUBCUT-Weekday-04,73220189,"BRENTWOOD",0,7060953,1080048
23-20781,2026MA-1PUBCUT-Weekday-04,73220191,"52 ST E",1,7060216,230178
5-20781,2026MA-1PUBCUT-Weekday-04,73220192,"NORTH HAVEN",1,7060492,50046
5-20781,2026MA-1PUBCUT-Weekday-04,73220193,"NORTH HAVEN",1,7060415,50046
5-20781,2026MA-1PUBCUT-Weekday-04,73220194,"NORTH HAVEN",1,7060415,50046
159-20781,2026MA-1PUBCUT-Weekday-04,73220195,"SADDLEBROOK",1,7060291,1590014
33-20781,2026MA-1PUBCUT-Weekday-04,73220196,"VISTA HEIGHTS",0,7060879,330065
33-20781,2026MA-1PUBCUT-Weekday-04,73220197,"BARLOW/MAX BELL STATION",1,7060879,330073
159-20781,2026MA-1PUBCUT-Weekday-04,73220198,"SADDLEBROOK",1,7060291,1590014
159-20781,2026MA-1PUBCUT-Weekday-04,73220199,"SADDLEBROOK",1,7060291,1590014
43-20781,2026MA-1PUBCUT-Weekday-04,73220200,"MCKNIGHT - WESTWINDS STATION",0,7060556,430124
43-20781,2026MA-1PUBCUT-Weekday-04,73220201,"CHINOOK STATION",1,7060231,430125
38-20781,2026MA-1PUBCUT-Weekday-04,73220203,"TEMPLE",0,7060182,380054
38-20781,2026MA-1PUBCUT-Weekday-04,73220204,"BRENTWOOD STATION",1,7060223,380044
38-20781,2026MA-1PUBCUT-Weekday-04,73220205,"BRENTWOOD STATION",1,7060635,380044
303-20781,2026MA-1PUBCUT-Weekday-04,73220206,"MAX ORANGE BRENTWOOD",1,7060820,3030034
38-20781,2026MA-1PUBCUT-Weekday-04,73220207,"BRENTWOOD STATION",1,7060744,380044
153-20781,2026MA-1PUBCUT-Weekday-04,73220209,"COPPERFIELD",0,7060667,1530076
43-20781,2026MA-1PUBCUT-Weekday-04-0000100,73220210,"MCKNIGHT - WESTWINDS STATION",0,7060483,430127
58-20781,2026MA-1PUBCUT-Weekday-04,73220211,"MARLBOROUGH",0,7060366,580028
58-20781,2026MA-1PUBCUT-Weekday-04,73220212,"MARLBOROUGH",0,7060144,580028
58-20781,2026MA-1PUBCUT-Weekday-04,73220213,"MARLBOROUGH",0,7060821,580028
58-20781,2026MA-1PUBCUT-Weekday-04,73220214,"MARLBOROUGH",0,7060432,580028
58-20781,2026MA-1PUBCUT-Weekday-04,73220215,"MARLBOROUGH",0,7060312,580028
128-20781,2026MA-1PUBCUT-Weekday-04,73220216,"CORNERSTONE/REDSTONE",1,7060249,1280053
128-20781,2026MA-1PUBCUT-Weekday-04,73220217,"CORNERSTONE/REDSTONE",1,7060557,1280053
128-20781,2026MA-1PUBCUT-Weekday-04,73220218,"CORNERSTONE/REDSTONE",1,7060302,1280053
145-20781,2026MA-1PUBCUT-Weekday-04,73220219,"SKYVIEW/REDSTONE",0,7060271,1450069
159-20781,2026MA-1PUBCUT-Weekday-04,73220220,"SADDLEBROOK",1,7060256,1590014
2-20781,2026MA-1PUBCUT-Weekday-04,73220221,"KILLARNEY/17 AV SW",1,7060786,20156
2-20781,2026MA-1PUBCUT-Weekday-04,73220222,"KILLARNEY/17 AV SW",1,7060639,20156
71-20781,2026MA-1PUBCUT-Weekday-04,73220223,"TARADALE",1,7060106,710037
114-20781,2026MA-1PUBCUT-Weekday-04,73220224,"PANORAMA/COUNTRY HILLS",0,7060926,1140042
114-20781,2026MA-1PUBCUT-Weekday-04,73220225,"PANORAMA/COUNTRY HILLS",0,7060926,1140042
114-20781,2026MA-1PUBCUT-Weekday-04,73220226,"PANORAMA/COUNTRY HILLS",0,7060926,1140042
114-20781,2026MA-1PUBCUT-Weekday-04,73220227,"PANORAMA/COUNTRY HILLS",0,7060926,1140042
